VP code,Munufacturer,Brand,Status,Cost
DD88TN03M,Cardinal Health,Flexal,Active,13.14
312020,Meta Biomed,Nexcomp,Out of stock,13.21
C6011,Safe-Dent,Safe-Dent,Active,13.25
310991,Meta Biomed,EZ Bond Universal,Active,13.33
BFBL,Crosstex,Crosstex,Active,13.34
Q48044,Quala,Quala,Active,13.39
13114,Gingi-Pak,Stasis,Active,13.4
100-1561,Cargus,MARK3 Enamel Care,Out of stock,13.5
1620,Cargus,MARK3,Active,13.63
H00819,Coltene/Whaledent,Hygenic,Active,13.65
H00820,Coltene/Whaledent,Hygenic,Active,13.65
10145,Gingi-Pak,Orostat,Active,13.69
BTBS-N,Pulpdent,T-Bands,Active,13.71
01-N1630,Septodont,Septoject Evolution,Active,13.83
891PQ,Sunstar,GUM,Active,14.03
GCFCXSSF-Bx,Crosstex,Ultra Sensitive SecureFit,Active,14.08
SBB1679,3D Dental,Bioviva,Active,14.1
201RYBP,Sunstar,GUM,Active,14.29
BE1146-Bx,EcoBee,BeeSure SuperSlim,Active,14.3
01-N1650,Septodont,Septoject Evolution,Active,14.3
305198-BX,BD,BD PrecisionGlide,Active,14.49
371215-BX,BD,Bard Parker,Active,14.54
10-2001-1,Metrex,VioNexus,Active,14.61
100-1202,Cargus,MARK3,Active,14.64
30210,Gingi-Pak,Gingi-Pak,Active,14.76
371211-BX,BD,Bard Parker,Active,14.83
3387-Bx,Cranberry USA,Inspire,Out of stock,14.94
219,Cargus,MARK3,Active,14.99
16691,Keystone Industries,Bosworth,Active,15.05
50094698,Quala,Quala,Active,15.06
414PQF,Sunstar,GUM Proxabrush Go-Betweens,Active,15.22
55082,Halyard Health,Purple Nitrile,Active,15.28
30200,Gingi-Pak,Gingi-Pak,Active,15.29
2263,Dynarex,Dynarex,Active,15.5
2260,Dynarex,Dynarex,Active,15.5
309570-BX,BD,BD Luer-Lok / PrecisionGlide,Active,15.54
GCFCXSFSF-Bx,Crosstex,Ultra Sensitive FogFree SecureFit,Out of stock,15.55
88010-4B-Bx,Medicom,SafeSeal Quattro,Active,15.61
309577-BX,BD,BD Luer-Lok / PrecisionGlide,Active,15.64
56-00121,Dharma Research,Ionite-R,Active,15.65
56-00120,Dharma Research,Ionite-R,Active,15.69
309571-BX,BD,BD Luer-Lok / PrecisionGlide,Active,15.75
305917-BX,BD,BD SafetyGlide,Active,15.8
90,Cargus,MARK3,Active,15.9
PMCL-106,Pac-Dent,ProMate,Active,16.05
76-80,Miltex-Integra,Miltex,Active,16.17
364815-BX,BD,BD Vacutainer,Active,16.28
993444,House Brand,House Brand,Active,16.37
50Z970,Zirc,Zirc,Active,16.41
Q10917,Quala,Quala,Active,16.49
CFW200SD-HB,House Brand,House Brand,Active,16.5
CFW200SD,Safe-Dent,Safe-Dent,Active,16.5
600PYC,Sunstar,Sunstar GUM Stimulator,Active,16.61
371110-1,BD,Bard Parker,Active,16.71
371115-BX,BD,Bard Parker,Active,16.71
151Z,Pac-Dent,Pac-Dent,Active,16.73
152EZ,Pac-Dent,Pac-Dent,Active,16.73
309657BX,BD,BD Luer-Lok,Active,16.76
2340082838-1,Dial,Dial Liquid Sensitive Skin,Active,16.79
24-02277,Keystone Industries,Gelato,Active,16.94
44793,Halyard Health,Flexaprene,Active,16.95
100-1700,Cargus,MARK3,Active,16.95
SM-3118-CS,House Brand,House Brand,Out of stock,17
PA-8108,ProAdvantage,ProAdvantage,Active,17.03
5509,Cargus,MARK3,Active,17.11
CS-0200,Defend,Defend,Active,17.46
803C,Palmero,Palmero,Active,17.47
P00066,Quala,Quala,Active,17.53
108100-1,Innovative Healthcare,NitriDerm,Active,17.56
309626-Bx,BD,BD Tuberculin / PrecisionGlide,Active,17.74
4-511,Miltex-Integra,Miltex,Active,17.87
M1030HVSE,Crosstex,SAFE-FLO,Out of stock,17.89
184A02,Silmet,ProFil Hybrid,Out of stock,17.95
PD130,Pac-Dent,PacTemp,Out of stock,17.97
1308,Dynarex,Dynacare,Active,18
SM-3116-CS,SurgiMac-MacSoft,House Brand,Active,18
P00072,Quala,Quala,Out of stock,18.07
242-100,Cargus,MARK3,Active,18.12
42750-1,J&J Dental,Cool Mint Listerine,Active,18.18
44,Shofu Dental,Dura-Green,Active,18.27
1670091,Keystone Industries,Hatho,Active,18.45
24-02677,Keystone Industries,Gelato,Active,18.65
24-02777,Keystone Industries,Gelato,Active,18.65
SW20-100,Crosstex,Crosstex,Active,18.68
800CQA,Sunstar,Red-Cote,Out of stock,18.82
24-07577,Keystone Industries,Gelato,Out of stock,18.94
24-03077,Keystone Industries,Gelato,Active,18.98
43446,Graham Medical,DurEcon,Active,19
TBDEN-BX-144,Dukal Corporation,DawnMist,Active,19.03
PA-8005,ProAdvantage,ProAdvantage,Active,19.06
24-11777,Keystone Industries,Gelato,Active,19.08
24-15977,Keystone Industries,Gelato,Active,19.09
3565G-1,Palmero,DisCide Ultra,Active,19.21
43445,Graham Medical,DurEcon,Active,19.33
1303-01,Gojo,Purell Advanced,Out of stock,19.41
43447,Graham Medical,DurEcon,Active,19.43
BE602RA-Bx,EcoBee,BeeSure,Active,19.48
BE601-Bx,EcoBee,BeeSure,Active,19.48
56-00202,Dharma Research,Citrine,Active,19.5
56-00204,Dharma Research,Citrine,Active,19.5
56-00211,Dharma Research,Citrine,Active,19.5
7101-HB,Cargus,House Brand,Active,19.5
7101-HB,Cargus,House Brand,Active,19.5
43932-1,Halyard Health,Aquasoft,Out of stock,19.78
43934-1,Halyard Health,Aquasoft,Out of stock,19.78
3700040159,Procter & Gamble,Crest,Active,19.8
GP822-M,Myco Medical,Reli,Active,19.85
GP822-M-SI,Myco Medical,Reli Redigut,Active,19.85
3030002,Meta Biomed,Adseal,Active,20
SM-3117-CS,House Brand,House Brand,Active,20
A9015,Safe-Dent,Safe-Dent,Active,20
3306-Bx,Cranberry USA,Evolve 300,Active,20.09
3307-Bx,Cranberry USA,Evolve 300,Active,20.09
DFG557SU,Miltex-Integra,Miltex,Active,20.16
1.0037E+13,Procter & Gamble,Scope,Active,20.17
Y1012,Shofu Dental,Beautifil Kids SA,Active,20.23
S017,Parkell,Accu Film ll,Active,20.3
13-1175,Metrex,CaviWipes,Active,20.31
56-00200,Dharma Research,Citrine,Active,20.47
7640,Cargus,MARK3,Active,20.5
S426,Parkell,Snap,Active,20.9
10-2860-1,Metrex,ProCide D,Active,21
8171,Dynarex,Protowels,Active,21
30220,Gingi-Pak,Gingi-Pak,Active,21.02
A9011-CB-case,Safe-Dent,Safe-Dent,Active,21.21
VP-8140T,Defend,Defend,Active,21.28
10-2800-1,Metrex,MetriCide 28,Out of stock,21.34
20118s,Gingi-Pak,Gingicaine,Active,21.39
8881412012-Bx,Covidien / Kendall Healthcare,Monoject,Active,21.4
S429,Parkell,Snap,Active,21.45
200-380-1,Quala,Quala,Out of stock,21.67
P00525,Quala,Quala,Active,21.7
D418,Parkell,Parkell,Active,21.75
785B,corza medical,Look,Active,21.85
R8006,B. Braun Medical,B. Braun,Out of stock,21.93
80717506,Procter & Gamble,Fixodent Professional,Active,21.94
80297304,Procter & Gamble,Crest Kid's,Active,22
76-70,Miltex-Integra,Miltex,Active,22
GC6354-M,Myco Medical,Reli Redigut,Active,22.05
37000089872-4,Procter & Gamble,Crest 3DWhite,Active,22.1
BE606SA-Bx,EcoBee,BeeSure,Active,22.12
2102,Dukal Corporation,Dukal,Out of stock,22.13
80691656,Procter & Gamble,Crest Complete,Active,22.2
80346815,Procter & Gamble,Crest 3DWhite,Active,22.21
781B,corza medical,Look,Active,22.27
594B,corza medical,Look,Active,22.27
784B,corza medical,Look,Active,22.27
779785,House Brand,House Brand,Active,22.4
4-315,Miltex-Integra,Miltex,Active,22.45
4-115,Miltex-Integra,Miltex,Active,22.45
3254,Dynarex,Dynarex,Out of stock,22.5
80768504,Procter & Gamble,Crest,Active,22.52
S441,Parkell,Snap,Active,22.54
77-70,Miltex-Integra,Miltex,Active,22.66
1432,Shofu Dental,Beautifil Flow,Active,22.77
1431,Shofu Dental,Beautifil Flow,Active,22.77
N660-M,Myco Medical,Reli,Active,22.9
100-3015,Cargus,MARK3,Active,22.95
2015,Shofu Dental,Beautifil Flow Plus,Active,23.02
2001,Shofu Dental,Beautifil Flow Plus,Active,23.02
2003,Shofu Dental,Beautifil Flow Plus,Active,23.02
2014,Shofu Dental,Beautifil Flow Plus,Active,23.02
2066,Shofu Dental,Beautifil Flow Plus,Active,23.02
9008,Cargus,MARK3,Active,23.17
24-5010201,J. Morita,J. Morita,Active,23.18
13-1000-1,Metrex,CaviCide,Out of stock,23.2
2002,Shofu Dental,Beautifil Flow Plus,Active,23.24
72008,Sultan,Genie,Active,23.45
10-3260-1,Metrex,ProCide D Plus,Active,23.45
10011-US,Medicom,Duraflor,Out of stock,23.49
50Z925P,Zirc,E-Z Jett,Active,23.63
80775811,Procter & Gamble,Oral-B Glide Pro-Health,Active,23.69
0219-4,Cargus,MARK3,Active,23.73
0220-4,Cargus,MARK3,Active,24.18
759142,Xttrium Labs,Xttrium Labs,Out of stock,24.2
10-3200-1,Metrex,MetriCide Plus 30,Active,24.21
31757,The Clorox Company,Clorox HealthCare,Active,24.25
11513,Sultan,Superoxol,Active,24.32
523521800/ F4709111,J&J Dental,Listerine Ultraclean,Active,24.4
929992,Xttrium Labs,House Brand,Active,24.49
80717080,Procter & Gamble,Crest 3DWhite,Active,24.57
SP116,corza medical,Look,Active,24.59
316002,Meta Biomed,CeraPutty,Active,25
1686,Cargus,MARK3 Enamel Care,Out of stock,25
TM268,Pac-Dent,T-Mixer,Active,25
4-110,Miltex-Integra,Miltex,Active,25.01
872PQ,Sunstar,GUM Proxabrush Go-Betweens,Active,25.14
3612PQ,Sunstar,GUM Proxabrush Go-Betweens,Active,25.14
3614PQ,Sunstar,GUM Proxabrush Go-Betweens,Active,25.14
BR-9002,Defend,Defend,Active,25.26
871PQ,Sunstar,GUM Proxabrush Go-Betweens,Active,25.28
RCB379023,Coltene/Whaledent,Alpen/Speedster,Active,25.43
13-5000-1,Metrex,CaviCide1,Out of stock,25.47
5053-02,Gojo,Purell Advanced,Active,25.6
1866c,Palmero,Palmero,Active,25.67
QFRGEN-01,Myco Medical,Qlicksmart,Active,25.71
AD30022,Sultan,Topex,Active,25.74
M1010SUSE,Crosstex,SAFE-FLO,Active,25.86
125,Pac-Dent,iFlo,Active,25.87
7101,Cargus,MARK3,Out of stock,25.95
4466-1,Dynarex,Dynarex,Active,25.98
01T0160,Septodont,Septodont,Active,25.99
7100-HB,Cargus,House Brand,Active,26
7102,Cargus,MARK3,Active,26
P8660-M,Myco Medical,Reli,Active,26.1
3076,Kimberly-Clark,Kleenex,Active,26.11
3014PQ,Sunstar,GUM Proxabrush Go-Betweens,Active,26.17
305128-BX,BD,BD PrecisionGlide,Active,26.25
305106-BX,BD,BD PrecisionGlide,Active,26.25
9010-6-HB,House Brand,House Brand,Active,26.48
9010-6-HB,House Brand,House Brand,Active,26.48
01-N0015,Septodont,Aim Safe,Active,26.7
981002,Tidi Products LLC,Tidi,Active,26.71
7763-01,Gojo,Purell Healthcare,Active,26.8
1169,Pac-Dent,iFlo,Active,26.84
3546,Palmero,Vacuum Shock,Active,26.92
1363,Shofu Dental,Beautifil Opaquer,Active,26.97
SM-VPFGM,House Brand,House Brand,Active,27
PRST-WC,3D Dental,Pristine,Active,27.11
10-8100-1,Metrex,MetriClean2,Active,27.13
10712,Halyard Health,KimGuard KC100,Active,27.21
7100,Cargus,MARK3,Active,27.21
12200,Cargus,MARK3,Out of stock,27.21
Q48033,Quala,Quala,Out of stock,27.24
18200-HB,House Brand,House Brand,Out of stock,27.35
0283-0679-02,Beutlich,HurriCaine,Active,27.38
13115,Gingi-Pak,Stasis,Active,27.49
560B,corza medical,Look,Active,27.54
554B,corza medical,Look,Active,27.54
525B,corza medical,Look,Active,27.54
591B,corza medical,Look,Active,27.54
557B,corza medical,Look,Active,27.54
555B,corza medical,Look,Active,27.54
559B,corza medical,Look,Active,27.54
PD-104,Pac-Dent,Pac-Dent,Active,27.54
30500,Gingi-Pak,Gingi-Pak,Active,27.76
P8661-M,Myco Medical,Reli,Active,28.1
10-1800-1,Metrex,VioNexus,Out of stock,28.16
21-300925,J. Morita,PerfectIM SnoWhite,Active,28.18
77635,Sultan,Genie,Active,28.25
77600,Sultan,Genie,Out of stock,28.25
77620,Sultan,Genie,Out of stock,28.25
Q85084,PDI,Sani-Cloth Plus,Out of stock,28.3
10-6000-1,Metrex,MetriCide OPA Plus,Active,28.41
77610,Sultan,Genie,Out of stock,28.57
77630,Sultan,Genie,Active,28.57
3547,Palmero,Vacuum Clean,Active,28.58
76-40,Miltex-Integra,Miltex,Active,28.63
P8699-M,Myco Medical,Reli,Active,28.7
994B,corza medical,Look,Active,28.75
840PQA,Sunstar,GUM Eez-Thru,Active,29
840PQA-HB,House Brand,House Brand,Active,29
S181,Parkell,Dryz,Active,29.05
76-42,Miltex-Integra,Miltex,Active,29.11
OOG-25,Pac-Dent,One File G,Active,29.26
OOG-20,Pac-Dent,One File G,Active,29.26
1614PQA,Sunstar,Proxabrush Trav-Ler,Out of stock,29.41
1612PQA,Sunstar,Proxabrush Trav-Ler,Out of stock,29.41
UPCM,Crosstex,Sparkle,Active,29.41
611001,Young Dental,Zooby,Active,29.74
4748-346,House Brand,House Brand,Active,29.75
4748-349,SurgiMac-MacSafe,House Brand,Active,29.75
2034,Shofu Dental,Beautifil-Bulk,Active,29.97
24-13077,Keystone Industries,Keystone,Active,30
01S0600,Septodont,ORASOOTHE,Active,30
3659-12-CS,Gojo,Purell Advanced,Active,30.11
50036380,Quala,Quala,Active,30.15
1200,Cargus,MARK3,Active,30.24
981004,Tidi Products LLC,Tidi,Active,30.26
ET-50R,Pulpdent,Etch-Rite,Active,30.37
S329,Parkell,HyperFIL,Active,30.45
30045,Medicom,SafeMatrix,Active,30.48
1880240,Keystone Industries,Keystone,Active,30.5
80754437,Procter & Gamble,Glide,Active,30.91
84843394,Procter & Gamble,Oral-B Glide Pro-Health,Out of stock,30.91
80779741,Procter & Gamble,Oral-B Glide Pro-Health,Out of stock,30.91
D406,Parkell,Parkell,Active,30.94
V391-M,Myco Medical,Reli,Active,31.2
1357,Pac-Dent,iFlo,Out of stock,31.79
V392-M,Myco Medical,Reli,Active,31.8
72101,Sultan,Genie,Active,31.86
199223,Dr. Fresh,Reach Total Care,Active,31.93
7822PF-1,Ansell,ENCORE Sensi-Touch PF,Out of stock,32.02
7823PF-1,Ansell,ENCORE Sensi-Touch PF,Active,32.02
7825PF-1,Ansell,ENCORE Sensi-Touch PF,Active,32.02
ML020127-1,Crosstex,Rapicide OPA/28,Active,32.08
62-71,Miltex-Integra,Miltex,Active,32.1
V393-M-1,Myco Medical,Reli,Out of stock,32.1
15949,Healthlink,Clorox,Active,32.54
72100,Sultan,Genie,Active,32.69
VP-9008,Defend,Defend,Active,32.7
VP-9011,Defend,Defend,Active,32.71
VP-9007,Defend,Defend,Active,32.71
01-N2210,Septodont,Eco Syringe,Active,32.75
10-4100-1,Metrex,EmPower,Out of stock,32.97
922B,corza medical,Look,Active,33.04
99510,Septodont,Septodont,Active,33.16
913382,Metrex,EmPower,Out of stock,33.21
DFVSM,3D Dental,Dream,Active,33.27
3077209596-72,Procter & Gamble,Crest,Active,33.32
107,L & R Manufacturing,E-Vac,Active,33.37
50Z930D,Zirc,E-Z Jett,Active,33.48
UC32,Coltene/Whaledent,BioSonic,Active,33.54
DD13-1155,Metrex,CaviWipesXL,Active,33.57
7785-02,Gojo,Purell Healthcare,Active,33.72
77640,Sultan,Genie,Active,33.89
30055,Medicom,SafeMatrix,Active,33.99
30060,Medicom,SafeMatrix,Active,33.99
4222,Dynarex,Dynarex,Active,34
10-1502-50,House Brand,House Brand,Out of stock,34.25
08-A0100,Quala,Quala,Active,34.31
0283-0679-60,Beutlich,HurriCaine,Active,34.34
24-13377,Keystone Industries,Keystone,Active,34.5
462025,Coltene/Whaledent,Roeko Surgitip,Active,34.62
309659-BX,BD,BD,Out of stock,34.65
SM-59909,Reckitt Benckiser Group,Lysol,Out of stock,35.2
1209PLT,Sunstar,Duropro,Active,35.28
BHG,3D Dental,Bioviva,Active,35.29
Q589510,Quala,Quala,Active,35.3
S626,Parkell,Predicta,Active,35.37
P25372-6,PDI,Sani-Cloth Prime,Active,35.37
18200-QU,Quala,Quala,Active,35.72
76-43,Miltex-Integra,Miltex,Active,35.83
157,Shofu Dental,Dura-Green DIA,Active,35.97
4258,Dynarex,Dynarex,Active,36
0283-0697-82,Beutlich,HurriSeal,Active,36.02
P86984-CS,PDI,Super Sani-Cloth,Active,36.14
M1000WHBU,Crosstex,SAFE-FLO,Active,36.22
6E+13,GlaxoSmithKline,Polident,Out of stock,36.41
6E+13,GlaxoSmithKline,Polident,Active,36.41
UT-1000,Defend,Defend,Active,36.44
20111,Gingi-Pak,Gingicaine,Active,36.46
H09945,Coltene/Whaledent,Hygenic Flexi,Active,36.53
42750,J&J Dental,Cool Mint Listerine,Active,36.55
99169-1,Septodont,Cook-Waite Lidocaine,Active,36.63
P72584,PDI,Sani-Cloth AF3,Active,36.63
75156,Dentsply Sirona,Sporox II,Active,36.75
411101,Pac-Dent,iMatrix,Active,37.05
411103,Pac-Dent,iMatrix,Active,37.05
7666030037,Procter & Gamble,Fixodent,Active,37.18
411105,Pac-Dent,iMatrix,Active,37.42
452201,Pac-Dent,Rodin InteCem,Active,37.56
248-144,Pac-Dent,ProAngle,Active,37.72
328468-Bx,BD,BD Ultra-Fine II,Active,37.8
ISO25-BL,Safe-Dent,Safe-Dent,Active,37.87
U87295,PDI,Super Sani-Cloth,Active,38.16
247-144,Pac-Dent,ProAngle,Active,38.47
42755,J&J Dental,Cool Mint Listerine,Active,38.99
FDBL,Crosstex,Crosstex,Active,39.36
PM-T1,Pac-Dent,iMatrix,Out of stock,39.51
1859,Gojo,Purell Advanced,Active,40.34
1905-02,Gojo,Purell Advanced,Active,40.35
4900-STAT,Medicom,SafeGauze HemoStat,Active,40.56
6747,Coltene/Whaledent,ParaCore,Active,40.57
01A1100,Septodont,Lignospan,Active,40.72
01E0510,Septodont,BioRoot Flow,Active,41
26742-1,EXELINT International,Safelet,Active,41.1
42834,J&J Dental,Listerine Zero,Active,41.29
23000,Georgia Pacific,Signature,Active,41.33
1890,Kimberly-Clark,Kleenex,Active,41.45
24-107043,J. Morita,Root ZX II,Out of stock,41.69
S437S,Parkell,Blu-Mousse,Active,41.85
S438S,Parkell,Blu-Mousse,Active,41.85
0072102FG,Sultan,Genie,Active,41.9
13-1025-1,Metrex,CaviCide,Active,42
301BL,Dukal Corporation,Dukal,Active,42
DEL8,Miltex-Integra,Miltex,Active,42.5
62-144,Miltex-Integra,Miltex,Active,42.55
08434G,GlaxoSmithKline,Sensodyne,Active,42.57
60000000135856 - 36 pack,GlaxoSmithKline,Sensodyne,Active,42.57
6120300,Keystone Industries,PIP,Active,42.6
D419,Parkell,Parkell,Active,42.61
50Z940Q,Zirc,Zirc,Active,42.67
50Z940P,Zirc,Zirc,Active,42.67
131110,Pac-Dent,EzAim,Active,42.85
131111,Pac-Dent,EzAim,Active,42.85
131109,Pac-Dent,EzAim,Active,42.85
Q3055C,Quala,Quala,Active,42.88
6122,Dukal Corporation,Dukal,Active,43.12
OCA BX 1000,Quala,Quala,Active,43.27
42855,J&J Dental,Listerine,Out of stock,43.83
3-725,Miltex-Integra,Miltex,Active,44.02
Q055022,Quala,Quala,Out of stock,44.02
650PA,Sunstar,GUM Soft-Picks,Active,44.04
634PB,Sunstar,GUM Soft-Picks,Active,44.04
632DB,Sunstar,GUM Soft-Picks,Out of stock,44.04
670P,Sunstar,GUM Soft-Picks,Active,44.04
S457S,Parkell,Blu-Mousse,Active,44.15
1415PQ,Sunstar,GUM ButlerWeave,Active,44.62
1815PQB,Sunstar,GUM ButlerWeave,Active,44.62
08-A0003-quala,Quala,House Brand,Active,44.76
21520,Dentsply Sirona,ReSURGE,Out of stock,44.88
4-315C,Miltex-Integra,Miltex,Active,44.9
AD30002,Sultan,Topex,Active,44.93
9012,Cargus,Mark3 Alterna,Active,45
6124,Dukal Corporation,Dukal,Active,45.02
166-100A,Pac-Dent,FUNimals,Active,45.04
9342-06,Gojo,Purell Professional,Active,45.09
211896800,LG H&H,Reach,Active,45.13
S255,Parkell,E.T.C.,Out of stock,45.15
1753,Shofu Dental,Beautifil II,Active,45.34
1752,Shofu Dental,Beautifil II,Active,45.34
1754,Shofu Dental,Beautifil II,Active,45.34
P00687,Quala,Quala,Active,45.43
9010,Cargus,MARK3,Active,45.8
08-A0003-1,Quala,Quala,Active,45.8
LSFAS-100,Pac-Dent,AntiSplatr,Active,45.82
309628BX,BD,BD Luer-Lok,Active,45.95
1804,Halyard Health,Scott,Active,45.97
DTCA1-5,Itena,DentoTemp,Active,46
422B,corza medical,Look,Active,46.43
7753-02,Gojo,Purell Healthcare,Active,46.8
2202,Shofu Dental,Beautifil Flow Plus,Active,47.02
OCW06-100,Micro-Scientific Industries,Opti-Cide3,Out of stock,47.25
01-N2110,Septodont,Septodont,Active,47.42
01-N2100,Septodont,Septodont,Active,47.42
10-2500-1,Metrex,Compliance,Out of stock,47.58
23071,Dentsply Sirona,FlashTips,Active,47.59
26301,Georgia Pacific,Envision,Out of stock,47.81
V463-M,Myco Medical,Reli,Active,47.9
205315,Medicom,SafeMask Classics,Active,47.99
4-115C,Miltex-Integra,Miltex,Active,48.06
08-A1400,Quala,Quala,Active,48.4
19006,Young Innovations Europe GmbH,Pro-Matrix,Out of stock,48.55
V464-M,Myco Medical,Reli,Active,48.6
PEG,Pulpdent,Porcelain Etch Gel,Out of stock,48.68
S396,Parkell,C & B Metabond,Active,48.7
1867C,Palmero,Palmero,Active,48.87
Q89072,PDI,Sani-Cloth Plus,Active,49
7751-02,Gojo,Purell Healthcare,Active,49.14
QUIN-10025K,Quala,House Brand,Active,49.25
VP-8008,Defend,Defend,Active,49.69
1510,Halyard Health,Scott,Active,49.72
QUIN-100030K-HB,House Brand,House Brand,Inactive,49.92
QUIN-10030K-HB,House Brand,House Brand,Active,49.92
QUIN-100025K,Quala,Quala,Active,49.92
QUIN-10025K-1,Quala,Quala,Active,49.92
QUIN-1030K-Q,Quala,Quala,Active,49.92
QUIN-10030K,Quala,Quala,Active,49.92
QUIN-100030K-,Quala,Quala,Active,49.93
01-C0605,Septodont,Biodentine,Active,50
30577,The Clorox Company,Clorox HealthCare,Out of stock,50
QUIN-1030K,Quala,House Brand,Active,50
QUIN-100025K-HB,House Brand,House Brand,Active,50
99210,Septodont,OraVerse,Active,50
QUIN-1025K,Quala,Quala,Active,50
50Z457,Zirc,Insti-Dam,Active,50.05
DD46827,Halyard Health,FluidShield,Active,50.75
CT-04B,Dukal Corporation,Ulti-Med,Active,51.01
R3008,Pac-Dent,PacBond,Active,51.27
1700,Halyard Health,Scott,Active,51.39
8100045,SDI,Super Etch,Active,51.51
SP119,corza medical,Look,Active,51.59
S641,Parkell,MucoHARD+,Active,51.63
60018460,Coltene/Whaledent,HyFlex CM,Active,51.82
H8250420,Coltene/Whaledent,HyFlex CM,Active,51.82
H8250415,Coltene/Whaledent,HyFlex CM,Active,51.82
H8250425,Coltene/Whaledent,HyFlex CM,Out of stock,51.82
H8250430,Coltene/Whaledent,HyFlex CM,Active,51.82
H825ASST,Coltene/Whaledent,HyFlex CM,Active,51.82
DD-79329 CASE,Reckitt Benckiser Group,Lysol,Out of stock,52
P13872,PDI,Sani-Cloth AF3,Active,52
S463S,Parkell,Cinch,Active,52.65
S453S,Parkell,Cinch,Active,52.65
7700030,SDI,Pola Office,Active,52.71
PF18155,Coltene/Whaledent,ParaPost Taper Lux,Active,52.75
Y2284,Shofu Dental,Beautifil II LS,Active,52.78
Y2285,Shofu Dental,Beautifil II LS,Active,52.78
Q55172,PDI,Super Sani-Cloth,Active,52.85
1248B,corza medical,Look,Active,53
56-00140C,Dharma Research,Ionite-H,Active,53.55
21132,Dentsply Sirona,Purevac SC,Active,53.6
80775876,Procter & Gamble,Oral-B Glide Pro-Health,Active,53.92
C0204,Shofu Dental,BeautiLink SA,Active,53.98
4312,Dynarex,Dynarex,Active,54
80303243,Procter & Gamble,Oral-B Glide Pro-Health,Out of stock,54
13-1100-12,Kerr,CaviWipes,Out of stock,54.022
56-00141,Dharma Research,Ionite-H,Active,54.54
P5016XL,Safe-Dent,Safe-Dent,Active,55
S456S,Parkell,Cinch,Active,55.27
50Z354-NEON,Zirc,Crystal HD,Active,55.8
50Z363-NEON,Zirc,Crystal HD,Active,55.8
50Z364-NEON,Zirc,Crystal HD,Active,55.8
50R381,Zirc,Crystal HD,Active,55.8
50Z354-JWL,Zirc,Crystal HD,Out of stock,55.8
50Z363-JWL,Zirc,Crystal HD,Active,55.8
21400,Kimberly-Clark,Kleenex,Active,55.8
9636-12,Gojo,Purell Advanced,Active,55.86
4336,Dynarex,Dynarex,Active,56
4302,Dynarex,Dynarex,Active,56
10715,Halyard Health,KimGuard KC100,Out of stock,56.04
198T-144,Pac-Dent,ProAngle Ergo,Out of stock,56.66
CPTYS-A3,Itena,Reflectys,Active,56.66
CPTYS-A1,Itena,Reflectys,Active,56.66
1500,Kimberly-Clark,Kleenex,Out of stock,56.84
8606873,Carestream Health,Readymatic,Out of stock,57.19
01-N2120,Septodont,Septodont,Active,57.29
1980,Halyard Health,Scott,Active,57.69
Q055026,Quala,Quala,Out of stock,58.08
10-1800-2,Metrex,VioNexus,Out of stock,58.3
PGCS10,PuraGraft,PuraCAL,Active,58.56
14-1100,Metrex,CaviWipes,Active,58.58
PD-121,Pac-Dent,C&B Prompt,Active,58.64
80362566,Procter & Gamble,Fixodent,Active,58.93
SW15,Crosstex,Crosstex,Active,59.33
3-740,Miltex-Integra,Miltex,Active,59.33
177202,Innovative Healthcare,Pulse Nitrile,Active,59.43
177302,Innovative Healthcare,Pulse Nitrile,Active,59.43
177102-,Innovative Healthcare,Pulse Nitrile,Active,59.43
01-N2105,Septodont,Septodont,Active,60
ASMS-100,Pac-Dent,AntiSplatr,Active,61.09
168-01-disc.,Pac-Dent,ImplaKlean,Out of stock,61.23
211896700,LG H&H,Reach,Active,61.24
211896600,LG H&H,Reach Cleanburst,Active,61.24
989831,DMG America (Zenith),Honigum Pro,Active,61.75
4084,Dukal Corporation,Dukal,Active,61.99
S251,Parkell,Retrieve DC,Out of stock,62
999831,DMG America (Zenith),Honigum,Out of stock,62.04
84860307,Procter & Gamble,Oral-B,Out of stock,62.13
168-01,Pac-Dent,ImplaKlean,Active,62.35
33035-16,Crosstex Accutron,ClearView,Out of stock,62.4
33037-11,Crosstex Accutron,ClearView,Out of stock,62.4
LLE,Pulpdent,Lime-Lite Enhanced,Active,62.65
P5010,Safe-Dent,Safe-Dent,Active,63
P7007P,PDI,Sani-Cloth Bleach,Active,63.84
921775,Keystone Industries,Softone,Active,63.88
CSBI25,Crosstex,ConFirm 24 In-Office,Out of stock,64.52
989832,DMG America (Zenith),Honigum Pro,Active,64.53
5352,Cargus,MARK3,Out of stock,64.58
80819862,Procter & Gamble,Oral-B,Active,65.11
80372278,Procter & Gamble,Crest Oral-B,Out of stock,65.14
ET-24,Pulpdent,Etch-Rite,Active,65.43
371716-Bx,BD,Bard Parker,Active,65.52
3077209596,Procter & Gamble,Crest,Active,66.63
1351,Quala,Quala,Active,67.02
S180,Parkell,Dryz,Out of stock,67.45
17713,Kimberly-Clark,Kleenex Cottonelle,Out of stock,67.88
S286,Parkell,Brush & Bond,Out of stock,68.25
8515-1,Ansell,GAMMEX Non-Latex,Active,68.25
8513-1,Ansell,GAMMEX Non-Latex,Active,68.25
8518-1,Ansell,GAMMEX Non-Latex,Active,68.25
